name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Udupi Palace,Yes,No,4.3/5,5860,Hebbal  ,"Pub, Bar","North Indian, Chinese",600,Delivery,Marathahalli
Hotel New Taj Mahal Cafe,Yes,No,3.2/5,4131,Sarjapur Road  ,"Pub, Bar","Biryani, North Indian",250,Dine-out,Electronic City
Restaurant Natural Ice Cream,Yes,Yes,4.1/5,2466,Frazer Town,Food Court,"Continental, North Indian",2000,Lunch,BTM Layout
Biryani Zone,Yes,No,2.7/5,2289,Vijayanagar,Delivery,South Indian,2500,Drinks & nightlife,Jayanagar
Amul,No,Yes,2.8/5,956,Richmond Town,Mess,"Pizza, Fast Food",700,Desserts,BTM Layout
Vasudev Adiga,No,No,4.3/5,2433,Rajajinagar,,Fast Food,1500,Cafes,JP Nagar
The Burger Lab,Yes,No,3.8/5,5406,Malleshwaram,Food Court,"North Indian, Chinese",350,Buffet,JP Nagar
Brahmin Coffee Bar,No,Yes,2.8/5,884,Frazer Town  ,Beverage Shop,"Ice Cream, Desserts",300,Delivery,BTM Layout
Amul,Yes,No,2.8/5,5326,Hebbal,"Casual Dining, Cafe","Bakery, Cafe","1,000",Lunch,JP Nagar
Meghana Foods,No,No,3.9/5,3610,Yelahanka,Mess,Street Food,600,Desserts,Banashankari
Natural Ice Cream,No,No,3.7/5,1229,Marathahalli,Fine Dining,"Cafe, Beverages",2000,Cafes,Indiranagar
Cafe Empire Restaurant,No,Yes,4.2/5,6813,Domlur,Desserts,"Sandwich, Fast Food",500,Dine-out,Whitefield
Toit Brewpub,No,Yes,2.8/5,6540,Indiranagar,Fine Dining,"Biryani, North Indian",1000,Buffet,Electronic City
Donne Biryani,Yes,No,2.6/5,519,Malleshwaram,Quick Bites,"Seafood, Continental","2,000",Dine-out,Whitefield
Spice Garden,No,Yes,3.0/5,4795,Koramangala,"Pub, Bar","Biryani, North Indian",1200,Drinks & nightlife,Banashankari
Rolls Mania,Yes,No,NEW,5249,Frazer Town  ,Delivery,"Mughlai, North Indian",500,Delivery,HSR Layout
Truffles,Yes,No,3.3/5,917,Marathahalli,Mess,South Indian,,Desserts,Electronic City
MTR,No,No,3.6/5,935,Hebbal,Fine Dining,North Indian,350,Drinks & nightlife,Jayanagar
Biryani Wrap It Up,Yes,No,4.0/5,6530,Electronic City,Bakery,Street Food,1200,Buffet,Indiranagar
Kamat Upachar,Yes,No,4.4/5,5985,Jayanagar,Food Court,"Cafe, Beverages",250,Lunch,BTM Layout
Punjabi Tadka,Yes,No,NEW,2102,Rajajinagar,"Casual Dining, Cafe",,1500,Cafes,Marathahalli
Toit Brewpub,No,No,4.7/5,11,Jayanagar,Casual Dining,Street Food,150,Dine-out,BTM Layout
Kamat Upachar,Yes,Yes,3.9/5,1868,Rajajinagar,Mess,"Sandwich, Fast Food",800,Lunch,HSR Layout
Vidyarthi Bhavan,Yes,Yes,4.6/5,2779,Domlur,Bar,"Biryani, North Indian",700,Drinks & nightlife,Koramangala
Corner House,Yes,No,3.4/5,4396,Sarjapur Road  ,Mess,"South Indian, North Indian",700,Lunch,BTM Layout
Satkar,No,No,4.9/5,5051,Richmond Town,Beverage Shop,Biryani,800,Drinks & nightlife,Indiranagar
Kitchen New Taj Mahal Cafe,No,Yes,4.0/5,5275,Domlur,Sweet Shop,"South Indian, Chinese",,Delivery,Marathahalli
Toit Brewpub,No,No,3.3/5,4811,Richmond Town,Cafe,"Seafood, Continental",150,Buffet,Banashankari
Koshy's,No,Yes,4.2/5,4286,MG Road,Cafe,,400,Buffet,Electronic City
Kamat Upachar,Yes,Yes,4.1/5,2129,MG Road,Mess,,"1,200",Desserts,Whitefield
Cafe Haveli,Yes,Yes,2.9/5,5923,Jayanagar,Delivery,Fast Food,200,Desserts,Indiranagar
MTR,Yes,No,3.8/5,1380,Majestic,Beverage Shop,"Biryani, North Indian","2,500",Lunch,JP Nagar
The Empire Restaurant,No,Yes,3.7/5,3081,BTM Layout,Sweet Shop,Street Food,800,Desserts,Electronic City
Satkar,No,Yes,4.8/5,2040,MG Road,Casual Dining,Biryani,1500,Lunch,HSR Layout
House Chinese Hut,Yes,Yes,3.4/5,588,Jayanagar,Sweet Shop,Street Food,400,Buffet,Indiranagar
Freshmenu,Yes,Yes,2.7/5,4444,Electronic City,Bakery,"North Indian, Chinese",900,Buffet,BTM Layout
Freshmenu,Yes,No,4.3/5,2403,RT Nagar,"Casual Dining, Cafe","Continental, North Indian",,Drinks & nightlife,Koramangala
Palace Haveli,No,No,3.5/5,2204,MG Road,Beverage Shop,"Pizza, Fast Food",1200,Delivery,JP Nagar
Haveli,Yes,Yes,3.7/5,3389,Jayanagar,Beverage Shop,"Mughlai, North Indian",150,Buffet,HSR Layout
Restaurant Meghana Foods,Yes,Yes,2.7/5,968,Church Street,Casual Dining,North Indian,,Cafes,Electronic City
Beijing Bites,Yes,Yes,-,7691,HSR Layout,Beverage Shop,"Cafe, Beverages",150,Buffet,Marathahalli
Vasudev Adiga,Yes,Yes,3.7/5,6527,Vijayanagar,Cafe,"North Indian, Chinese",800,Buffet,Indiranagar
Brahmin Coffee Bar,No,Yes,4.7/5,6807,HSR Layout,Desserts,,300,Dine-out,JP Nagar
Srinidhi,Yes,Yes,3.6/5,726,Indiranagar,Quick Bites,South Indian,450,Lunch,Whitefield
Chai Point,Yes,No,4.4/5,6434,Hebbal,Sweet Shop,"Ice Cream, Desserts",800,Buffet,Marathahalli
Rolls Mania,No,No,2.6/5,7227,Jayanagar,Fine Dining,Fast Food,"1,000",Desserts,Marathahalli
Palace Dragon Palace,Yes,,3.3/5,2383,MG Road,"Pub, Bar",,800,Drinks & nightlife,HSR Layout
Hotel Pai Vista,No,No,3.5/5,1190,Basavanagudi,Desserts,"Continental, North Indian",200,Cafes,Electronic City
Natural Ice Cream,Yes,No,4.4/5,7684,Domlur,Casual Dining,"South Indian, Chinese",700,Drinks & nightlife,JP Nagar
The Burger Lab,No,,2.8/5,6276,Koramangala  ,Cafe,"Biryani, North Indian",700,Dine-out,JP Nagar
Truffles,Yes,No,2.5/5,1949,BTM Layout  ,Bakery,"Seafood, Continental",900,Delivery,Indiranagar
Wrap It Up,Yes,Yes,NEW,394,Jayanagar,Delivery,"Seafood, Continental","1,500",Desserts,Koramangala
Cafe Biryani Zone,Yes,No,4.5/5,5069,Banashankari,Bakery,"Bakery, Cafe",200,Dine-out,Koramangala
Wrap It Up,No,No,-,4964,Malleshwaram,Bakery,"Biryani, North Indian",800,Cafes,Electronic City
Udupi Palace,No,No,NEW,4443,Banashankari,Bar,"Italian, Pizza",200,Buffet,Banashankari
Palace Tasty Bites,Yes,Yes,3.1/5,3998,Bellandur  ,Delivery,"Cafe, Beverages",450,Cafes,BTM Layout
Natural Ice Cream,No,Yes,4.7/5,3591,Bellandur,Food Court,South Indian,800,Buffet,Banashankari
Kitchen KFC,Yes,No,2.8/5,3681,Koramangala,"Pub, Bar","Continental, North Indian",,Desserts,Koramangala
Cafe Coffee Day,No,No,-,6083,Bellandur,Delivery,"South Indian, North Indian",250,Delivery,Marathahalli
India Gate,Yes,,3.2/5,4909,Basavanagudi,Sweet Shop,"Ice Cream, Desserts",300,Dine-out,Marathahalli
Corner Vidyarthi Bhavan,No,Yes,2.9/5,1100,Marathahalli,Sweet Shop,"Italian, Pizza",800,Lunch,Electronic City
Biryani Zone,Yes,No,4.9/5,72,Malleshwaram,Food Court,"Pizza, Fast Food",,Cafes,BTM Layout
Cafe Coffee Day,Yes,Yes,3.9/5,7827,Majestic,Casual Dining,"North Indian, Chinese",450,Buffet,Whitefield
Hotel The Burger Lab,No,No,3.6/5,7330,Basavanagudi,Quick Bites,"Ice Cream, Desserts",350,Drinks & nightlife,Koramangala
Biryani Udupi Palace,Yes,No,2.9/5,4805,BTM Layout,Food Court,"Biryani, North Indian",2500,Desserts,Electronic City
Tasty Bites,Yes,No,3.5/5,2043,Whitefield,Fine Dining,Biryani,200,Dine-out,BTM Layout
The Burger Lab,No,,2.8/5,6276,Koramangala  ,Cafe,"Biryani, North Indian",700,Dine-out,JP Nagar
Eat Street,No,Yes,3.8/5,2134,Domlur,Quick Bites,South Indian,350,Lunch,JP Nagar
Natural Ice Cream,Yes,No,4.2/5,340,Majestic,Bakery,Fast Food,,Lunch,Jayanagar
Amul,Yes,,3.4/5,2720,Indiranagar,Fine Dining,North Indian,,Drinks & nightlife,Whitefield
Chinese Hut,No,No,4.6/5,1576,Electronic City,Sweet Shop,"Italian, Pizza",400,Dine-out,Whitefield
Dragon Palace,Yes,Yes,3.6/5,7753,Yelahanka,Mess,Fast Food,400,Delivery,BTM Layout
New Taj Mahal Cafe,Yes,Yes,3.1/5,3712,HSR Layout  ,"Pub, Bar",Fast Food,500,Buffet,JP Nagar
Vasudev Adiga,Yes,No,2.5/5,1845,Sarjapur Road,Mess,"South Indian, Chinese",250,Drinks & nightlife,JP Nagar
Palace India Gate,No,Yes,3.7/5,1540,Whitefield,Fine Dining,Fast Food,900,Delivery,Jayanagar
Punjab Grill,No,No,3.3/5,7291,Jayanagar,Delivery,Biryani,150,Delivery,JP Nagar
Punjabi Tadka,Yes,No,4.3/5,974,Church Street,Food Court,,450,Dine-out,Koramangala
Wrap It Up,No,Yes,4.2/5,3566,Bellandur,Desserts,,1000,Drinks & nightlife,Electronic City
Brahmin Coffee Bar,No,No,2.7/5,4181,Whitefield,Cafe,Street Food,250,Drinks & nightlife,HSR Layout
Donne Biryani,No,Yes,4.9/5,3453,Basavanagudi,Bakery,Chinese,700,Desserts,JP Nagar
MTR,No,Yes,3.1/5,7644,Rajajinagar,Cafe,"Pizza, Fast Food",1200,Drinks & nightlife,Indiranagar
Haveli,Yes,No,2.8/5,1838,Koramangala,Casual Dining,"Sandwich, Fast Food",350,Delivery,Banashankari
Dragon Palace,No,No,3.9/5,2,RT Nagar,Delivery,"North Indian, Chinese",500,Delivery,Indiranagar
KFC,No,No,3.3/5,6702,HSR Layout,Quick Bites,"South Indian, Chinese",450,Dine-out,Banashankari
Amul,No,No,3.1/5,2768,Whitefield,"Casual Dining, Cafe",North Indian,250,Drinks & nightlife,HSR Layout
McDonald's,No,No,2.6/5,4433,Marathahalli,Fine Dining,South Indian,"2,000",Delivery,Banashankari
Palace Shivaji Military Hotel,Yes,,3.2/5,7410,Banashankari,Bar,Chinese,350,Lunch,BTM Layout
Donne Biryani,Yes,No,3.0/5,1208,Rajajinagar,Quick Bites,Chinese,,Dine-out,Indiranagar
Koshy's,No,No,2.8/5,5833,Electronic City,"Pub, Bar","Seafood, Continental",450,Lunch,JP Nagar
Corner Kamat Upachar,Yes,Yes,4.6/5,6222,Majestic,Food Court,North Indian,250,Buffet,Indiranagar
Toit Brewpub,No,No,3.4/5,3564,Jayanagar,"Pub, Bar",Biryani,"1,200",Delivery,Koramangala
Restaurant India Gate,No,Yes,NEW,5655,Malleshwaram,Fine Dining,Fast Food,600,Desserts,Electronic City
Kitchen Brahmin Coffee Bar,Yes,,2.5/5,21,Vijayanagar,Fine Dining,"South Indian, North Indian",900,Delivery,JP Nagar
Haveli,Yes,No,3.9/5,5802,Vijayanagar,Casual Dining,"Seafood, Continental",700,Drinks & nightlife,Marathahalli
Hotel Punjab Grill,Yes,No,3.7/5,3387,Majestic,Sweet Shop,,150,Desserts,Marathahalli
Kitchen Beijing Bites,Yes,Yes,3.9/5,5203,Banashankari,Bar,"Italian, Pizza",400,Buffet,Marathahalli
McDonald's,No,No,4.4/5,4311,Electronic City,Bakery,"Pizza, Fast Food",500,Drinks & nightlife,Jayanagar
Cafe KFC,No,Yes,3.2/5,7914,Domlur,Quick Bites,"North Indian, Chinese",200,Buffet,Electronic City
The Dragon Palace,No,Yes,3.5/5,3530,Marathahalli,Cafe,,,Lunch,Electronic City
New Taj Mahal Cafe,Yes,No,4.5/5,7979,MG Road,Bakery,"Sandwich, Fast Food",500,Buffet,Electronic City
Rolls Mania,No,No,4.4/5,5548,Church Street,Bakery,Biryani,600,Lunch,JP Nagar
Cafe Coffee Day,No,Yes,3.3/5,3371,Richmond Town,Quick Bites,North Indian,2500,Cafes,JP Nagar
Cafe Subway,No,No,2.5/5,5016,Yelahanka,Fine Dining,"Continental, North Indian",450,Desserts,Indiranagar
Faasos,Yes,Yes,4.9/5,7490,Electronic City,Bar,South Indian,200,Cafes,JP Nagar
Spice Garden,No,Yes,2.6/5,987,MG Road,Fine Dining,"Mughlai, North Indian",2000,Dine-out,JP Nagar
Box8,Yes,Yes,NEW,7709,Frazer Town,Bakery,"Biryani, North Indian",800,Buffet,Koramangala
Corner Dragon Palace,No,No,4.4/5,4612,JP Nagar,"Pub, Bar","Italian, Pizza",900,Drinks & nightlife,BTM Layout
Kanti Sweets,Yes,No,4.2/5,6869,Hebbal,Cafe,"Desserts, Bakery",350,Desserts,Marathahalli
The Burger Lab,Yes,No,4.6/5,7843,BTM Layout,Desserts,,500,Lunch,Electronic City
Chinese Hut,Yes,Yes,3.2/5,1797,Frazer Town,Casual Dining,Street Food,450,Buffet,JP Nagar
KFC,Yes,Yes,3.1/5,1931,Sarjapur Road  ,Fine Dining,"North Indian, Chinese",450,Buffet,Marathahalli
Barbeque Nation,No,No,4.5/5,5089,Sarjapur Road,,,"2,000",Desserts,Electronic City
Palace Udupi Palace,Yes,No,-,2137,Rajajinagar  ,Mess,"Biryani, North Indian",600,Delivery,Banashankari
House Donne Biryani,Yes,No,3.0/5,2139,Yelahanka,,South Indian,300,Buffet,Koramangala
Corner Beijing Bites,No,Yes,-,3117,Basavanagudi,Delivery,Chinese,1200,Cafes,Banashankari
Cafe Coffee Day,No,Yes,NEW,7656,Rajajinagar,Quick Bites,"North Indian, Chinese",900,Cafes,HSR Layout
Amul,No,Yes,3.7/5,7059,Sarjapur Road,Beverage Shop,"Mughlai, North Indian",300,Dine-out,Electronic City
Spice Garden,No,Yes,3.9/5,4049,Bellandur,"Casual Dining, Cafe","South Indian, Chinese",1500,Lunch,Indiranagar
Corner Dominos,Yes,No,3.9/5,7547,BTM Layout,"Pub, Bar","Cafe, Beverages",200,Drinks & nightlife,HSR Layout
Beijing Bites,No,No,3.9/5,1679,Hebbal,Fine Dining,"Seafood, Continental",250,Cafes,Koramangala
Chai Point,Yes,No,4.7/5,1887,Electronic City,Sweet Shop,North Indian,200,Desserts,JP Nagar
Restaurant Wrap It Up,Yes,Yes,4.6/5,4681,HSR Layout,Quick Bites,Chinese,1200,Buffet,Whitefield
Natural Ice Cream,Yes,Yes,4.6/5,1239,Koramangala,"Pub, Bar","Sandwich, Fast Food",,Dine-out,Koramangala
Dominos,No,No,3.0/5,1977,Church Street,Delivery,"Cafe, Beverages",150,Lunch,Koramangala
Donne Biryani,No,No,4.5/5,6302,Domlur  ,Cafe,"Ice Cream, Desserts",350,Lunch,Whitefield
Kanti Sweets,No,No,3.6/5,1389,Yelahanka,Bakery,"Ice Cream, Desserts",450,Desserts,Marathahalli
Kitchen Haveli,Yes,,3.0/5,6342,Indiranagar,Beverage Shop,South Indian,,Dine-out,Whitefield
Chai Point,No,No,4.9/5,5782,Electronic City,Sweet Shop,"North Indian, Chinese",2000,Desserts,Marathahalli
Faasos,No,Yes,3.5/5,4358,Jayanagar  ,Cafe,Chinese,2000,Buffet,Whitefield
Brahmin Coffee Bar,Yes,,2.8/5,243,Rajajinagar,Food Court,"Ice Cream, Desserts","1,200",Lunch,Whitefield
Biryani Zone,Yes,No,3.3/5,2725,Majestic,Fine Dining,"Seafood, Continental",1500,Lunch,Whitefield
Toit Brewpub,Yes,No,3.0/5,4069,Basavanagudi,"Pub, Bar","Cafe, Beverages",1200,Dine-out,Banashankari
Starbucks,No,No,3.3/5,7761,Vijayanagar,Bakery,"Italian, Pizza",450,Buffet,Koramangala
The India Gate,No,No,2.8/5,7426,Sarjapur Road,Bar,,1000,Buffet,JP Nagar
Srinidhi,Yes,Yes,2.6/5,4259,Jayanagar  ,Cafe,Chinese,900,Desserts,Electronic City
Empire Restaurant,No,Yes,2.7/5,2253,Richmond Town,"Casual Dining, Cafe","South Indian, North Indian",450,Cafes,Banashankari
Haveli,Yes,Yes,2.5/5,5079,Electronic City  ,"Casual Dining, Cafe","Continental, North Indian",2500,Buffet,Jayanagar
Shivaji Military Hotel,Yes,No,3.4/5,4470,RT Nagar,Desserts,North Indian,1500,Desserts,Whitefield
McDonald's,No,Yes,2.9/5,7168,Domlur  ,Mess,"South Indian, North Indian",600,Dine-out,Marathahalli
Pizza Hut,No,Yes,2.8/5,2190,Rajajinagar,Fine Dining,North Indian,2000,Delivery,BTM Layout
India Gate,Yes,No,2.8/5,1709,Domlur,"Casual Dining, Cafe","Ice Cream, Desserts",2000,Drinks & nightlife,Whitefield
India Gate,No,Yes,3.6/5,5280,Jayanagar,Bar,"Pizza, Fast Food",400,Buffet,HSR Layout
Amul,Yes,Yes,3.7/5,754,Richmond Town  ,Mess,North Indian,800,Cafes,JP Nagar
McDonald's,Yes,No,3.1/5,2793,Majestic,Food Court,"Bakery, Cafe","2,000",Cafes,Banashankari
Cafe Coffee Day,Yes,No,3.8/5,5495,Sarjapur Road,Cafe,"South Indian, Chinese",2500,Desserts,HSR Layout
Dominos,Yes,No,3.9/5,5421,Bellandur,Fine Dining,Chinese,1000,Cafes,Jayanagar
Restaurant India Gate,No,No,3.9/5,7519,Koramangala,Delivery,"Bakery, Cafe",,Delivery,Banashankari
Natural Ice Cream,Yes,Yes,NEW,3568,Yelahanka,Bakery,North Indian,900,Dine-out,BTM Layout
Pizza Hut,No,No,NEW,4211,Richmond Town,"Pub, Bar",,,Buffet,Jayanagar
Haveli,No,Yes,3.7/5,7330,Sarjapur Road  ,Fine Dining,,400,Dine-out,Banashankari
Haveli,Yes,Yes,NEW,916,Church Street,Food Court,North Indian,300,Buffet,BTM Layout
Chinese Hut,No,Yes,3.8/5,1012,Domlur,Quick Bites,"Biryani, North Indian",700,Drinks & nightlife,Koramangala
Belgian Waffle,No,No,2.9/5,5868,Yelahanka,Food Court,"Italian, Pizza",700,Buffet,Koramangala
Box8,Yes,No,2.7/5,5047,Bellandur,Quick Bites,"Cafe, Beverages",350,Dine-out,Koramangala
Biryani Zone,No,No,3.2/5,2278,Koramangala,Quick Bites,"Cafe, Beverages",700,Desserts,Jayanagar
The Haveli,Yes,No,4.3/5,1286,Koramangala,Fine Dining,"Continental, North Indian",900,Buffet,Jayanagar
Dragon Palace,No,Yes,4.6/5,6359,Malleshwaram,Quick Bites,Chinese,500,Drinks & nightlife,Indiranagar
Vidyarthi Bhavan,Yes,Yes,4.1/5,3061,Church Street,Quick Bites,"North Indian, Chinese",200,Delivery,Banashankari
Satkar,Yes,No,3.5/5,5101,Hebbal,"Casual Dining, Cafe",North Indian,700,Cafes,JP Nagar
Dhaba Pizza Hut,No,No,3.9/5,2817,Majestic,Bakery,"Seafood, Continental",250,Drinks & nightlife,Jayanagar
Kitchen Natural Ice Cream,No,Yes,4.4/5,3598,RT Nagar,Cafe,"South Indian, North Indian",400,Cafes,Marathahalli
Brahmin Coffee Bar,No,Yes,-,4573,Majestic,Quick Bites,,2500,Drinks & nightlife,Marathahalli
Faasos,No,No,4.7/5,6667,RT Nagar,Delivery,"South Indian, North Indian",200,Cafes,BTM Layout
Dominos,Yes,No,4.0/5,4957,Koramangala  ,Delivery,Fast Food,1500,Lunch,HSR Layout
Starbucks,No,No,3.1/5,986,Church Street,Cafe,Street Food,200,Delivery,Whitefield
Dominos,Yes,Yes,3.5/5,6095,Marathahalli  ,Sweet Shop,Chinese,450,Buffet,BTM Layout
Empire Restaurant,No,No,-,1875,MG Road,Quick Bites,"Italian, Pizza",2000,Lunch,BTM Layout
Belgian Waffle,No,No,3.4/5,2365,Yelahanka,"Pub, Bar","Bakery, Cafe",450,Dine-out,Jayanagar
Haveli,No,Yes,2.6/5,6236,Whitefield,,Biryani,250,Cafes,JP Nagar
Vasudev Adiga,Yes,Yes,2.7/5,4137,Church Street,"Casual Dining, Cafe","Seafood, Continental",700,Cafes,Banashankari
Belgian Waffle,No,Yes,4.0/5,4238,MG Road,Cafe,"Seafood, Continental",250,Delivery,HSR Layout
The Donne Biryani,No,Yes,2.9/5,5280,Yelahanka,Delivery,"Pizza, Fast Food",350,Delivery,JP Nagar
Beijing Bites,Yes,No,4.4/5,7800,JP Nagar,Sweet Shop,North Indian,600,Drinks & nightlife,Electronic City
Belgian Waffle,Yes,No,-,5917,Marathahalli,Sweet Shop,,,Delivery,BTM Layout
MTR,Yes,No,3.4/5,3485,JP Nagar,Bar,"Cafe, Beverages",,Desserts,Marathahalli
Cafe Coffee Day,Yes,Yes,3.9/5,5539,Bellandur,Desserts,Fast Food,700,Dine-out,Whitefield
Meghana Foods,Yes,Yes,3.0/5,4009,Whitefield  ,Bar,Street Food,,Dine-out,JP Nagar
Corner Shivaji Military Hotel,No,No,4.8/5,7027,Frazer Town,Food Court,South Indian,,Buffet,Marathahalli
Tasty Bites,No,No,2.6/5,1463,Indiranagar  ,Mess,"Bakery, Cafe",500,Delivery,HSR Layout
Biryani Zone,Yes,,2.7/5,5066,Indiranagar,Cafe,"Continental, North Indian",2500,Dine-out,JP Nagar
Udupi Palace,Yes,,4.7/5,3111,Basavanagudi  ,"Casual Dining, Cafe","Continental, North Indian",1500,Delivery,Electronic City
Hotel Dragon Palace,No,No,2.6/5,1058,BTM Layout,Quick Bites,"Italian, Pizza",1500,Cafes,Indiranagar
Belgian Waffle,Yes,No,2.5/5,6959,RT Nagar,Mess,"Pizza, Fast Food",2500,Desserts,Koramangala
Biryani Freshmenu,Yes,No,2.8/5,3508,Whitefield,Bakery,North Indian,900,Cafes,HSR Layout
The Burger Lab,Yes,Yes,4.1/5,3232,Basavanagudi  ,"Pub, Bar","Mughlai, North Indian",2000,Lunch,Banashankari
New Taj Mahal Cafe,No,,4.5/5,5922,Electronic City  ,Beverage Shop,South Indian,2500,Dine-out,BTM Layout
Shivaji Military Hotel,Yes,No,3.4/5,4470,RT Nagar,Desserts,North Indian,1500,Desserts,Whitefield
New Taj Mahal Cafe,Yes,Yes,2.8/5,2736,Hebbal,Quick Bites,"Cafe, Beverages",700,Dine-out,Koramangala
Natural Ice Cream,No,Yes,3.6/5,2772,Domlur,Mess,"Cafe, Beverages",1200,Cafes,Koramangala
House Belgian Waffle,Yes,No,2.6/5,3553,HSR Layout,Beverage Shop,"Desserts, Bakery",,Buffet,JP Nagar
Pizza Hut,Yes,Yes,4.5/5,590,Koramangala,Bakery,"Bakery, Cafe",,Drinks & nightlife,HSR Layout
MTR,Yes,,NEW,2501,Malleshwaram,Sweet Shop,"Continental, North Indian",250,Dine-out,Whitefield
Pizza Hut,Yes,,3.6/5,6228,Basavanagudi,Desserts,"North Indian, Chinese",,Dine-out,Electronic City
New Taj Mahal Cafe,Yes,No,-,311,Marathahalli,Mess,"Biryani, North Indian",200,Cafes,Koramangala
Amul,No,Yes,3.2/5,4665,Rajajinagar,Food Court,"South Indian, Chinese",250,Desserts,Whitefield
Faasos,No,No,4.5/5,2958,Domlur,Beverage Shop,Fast Food,900,Drinks & nightlife,Jayanagar
Meghana Foods,No,Yes,3.1/5,630,Whitefield,Desserts,"Mughlai, North Indian",300,Desserts,JP Nagar
Hotel Belgian Waffle,No,Yes,4.7/5,7121,Majestic,Mess,"Biryani, North Indian",500,Lunch,JP Nagar
Natural Ice Cream,No,No,2.7/5,6675,BTM Layout  ,Delivery,"Mughlai, North Indian",400,Desserts,JP Nagar
Amul,No,Yes,3.8/5,5703,Sarjapur Road,"Casual Dining, Cafe","Seafood, Continental",2000,Drinks & nightlife,JP Nagar
Udupi Palace,Yes,Yes,NEW,5437,Church Street,Cafe,"Pizza, Fast Food",,Desserts,Koramangala
Freshmenu,Yes,Yes,4.8/5,956,Frazer Town,Casual Dining,,450,Drinks & nightlife,Jayanagar
KFC,Yes,No,2.7/5,6780,Jayanagar,Mess,"Pizza, Fast Food",250,Cafes,Jayanagar
The The Burger Lab,No,No,4.5/5,261,Marathahalli,Bar,Chinese,350,Dine-out,BTM Layout
Rolls Mania,No,No,3.2/5,207,Bellandur,Sweet Shop,"South Indian, Chinese",450,Buffet,Electronic City
Eat Street,Yes,Yes,3.8/5,1969,Hebbal,Mess,Street Food,450,Delivery,Marathahalli
India Gate,No,No,4.3/5,7314,MG Road,Bakery,Street Food,"2,000",Dine-out,Indiranagar
MTR,No,No,2.6/5,7009,JP Nagar,,"Pizza, Fast Food",900,Delivery,Electronic City
Natural Ice Cream,No,No,4.6/5,7738,RT Nagar,Sweet Shop,"South Indian, North Indian",250,Lunch,Indiranagar
Beijing Bites,Yes,,4.5/5,1107,Electronic City,Casual Dining,Fast Food,900,Desserts,Koramangala
Udupi Palace,Yes,Yes,3.3/5,1394,Whitefield,,"Mughlai, North Indian",800,Lunch,Indiranagar
Corner Eat Street,No,Yes,3.7/5,7009,Koramangala,Desserts,Chinese,150,Drinks & nightlife,Indiranagar
Dhaba Chai Point,No,Yes,4.6/5,133,Jayanagar,,South Indian,350,Delivery,Electronic City
Brahmin Coffee Bar,Yes,Yes,4.0/5,3638,HSR Layout,Mess,"South Indian, Chinese",2000,Buffet,Koramangala
Toit Brewpub,Yes,Yes,4.9/5,2978,Vijayanagar,"Pub, Bar",Biryani,700,Lunch,HSR Layout
Meghana Foods,Yes,No,NEW,5238,Yelahanka  ,"Casual Dining, Cafe","Pizza, Fast Food",900,Buffet,Banashankari
Dhaba Hotel Pai Vista,Yes,,3.2/5,1985,Bellandur,Fine Dining,"Italian, Pizza",400,Lunch,Indiranagar
Barbeque Nation,Yes,No,3.8/5,7174,Electronic City,Quick Bites,Street Food,500,Drinks & nightlife,Electronic City
India Gate,No,Yes,2.9/5,2541,Malleshwaram,Mess,"Ice Cream, Desserts","1,000",Cafes,Jayanagar
Box8,No,No,2.6/5,959,JP Nagar,Mess,"Biryani, North Indian",800,Desserts,Banashankari
The Wrap It Up,Yes,No,2.6/5,3380,Electronic City,Sweet Shop,,1500,Lunch,Koramangala
Toit Brewpub,No,No,3.1/5,4565,Sarjapur Road,,"Biryani, North Indian",1200,Desserts,BTM Layout
Corner Srinidhi,No,,4.3/5,2891,Rajajinagar,Casual Dining,"South Indian, Chinese",150,Buffet,BTM Layout
Amul,No,,3.2/5,6164,JP Nagar,"Casual Dining, Cafe",,800,Desserts,BTM Layout
Freshmenu,No,No,4.8/5,6052,Marathahalli,Bakery,"Seafood, Continental",150,Dine-out,Jayanagar
Rolls Mania,Yes,Yes,4.3/5,5569,Church Street,Sweet Shop,Fast Food,250,Drinks & nightlife,Electronic City
House Punjab Grill,No,No,3.6/5,6877,Malleshwaram,Bakery,Street Food,700,Buffet,Indiranagar
Vasudev Adiga,No,Yes,3.2/5,3374,Church Street,Mess,"Pizza, Fast Food",500,Delivery,Koramangala
Brahmin Coffee Bar,No,Yes,3.2/5,3906,Indiranagar,Delivery,"Italian, Pizza",450,Buffet,Koramangala
Corner Punjab Grill,No,Yes,3.4/5,3738,Rajajinagar,Bakery,"Ice Cream, Desserts",350,Desserts,Jayanagar
Corner Eat Street,Yes,,3.1/5,7327,Sarjapur Road,Bakery,"Biryani, North Indian",1000,Buffet,Koramangala
Dragon Palace,No,No,3.1/5,5435,Rajajinagar,,"North Indian, Chinese",700,Desserts,Marathahalli
Dhaba Box8,No,No,4.4/5,7717,Yelahanka,"Casual Dining, Cafe","Bakery, Cafe",2500,Lunch,Koramangala
Rolls Mania,No,,4.3/5,454,Church Street  ,Mess,"Cafe, Beverages",2000,Drinks & nightlife,Marathahalli
Subway,No,No,4.4/5,2994,Rajajinagar,Cafe,"Biryani, North Indian",200,Cafes,Koramangala
Dhaba The Burger Lab,No,Yes,2.8/5,2013,Church Street,Mess,"Pizza, Fast Food",250,Cafes,HSR Layout
